id,title,rating,ratingLevel,ratingDescription,release_year,user rating score,user rating size
461,Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
462,Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98,80
463,The West Wing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,79,80
464,Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79,80
465,White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93,80
466,Blue Bloods,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
467,House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91,80
468,Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
469,The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73,80
470,Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
471,New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
472,Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,84,80
473,Person of Interest,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,93,80
474,Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80
475,Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92,80
476,Forensic Files,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,88,80
477,Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
478,The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92,80
479,Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98,80
480,Rectify,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
481,Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80,80
482,Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83,80
483,The Fall,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,61,80
484,The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
485,Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
486,American Crime,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
487,Madam Secretary,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,70,80
488,Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81,80
489,Scream,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
490,Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81,80
491,The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94,80
492,Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88,80
493,Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84,80
494,American Crime Story: The People v. O.J. Simpson,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,79,80
495,Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82,80
496,No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
497,Girlboss,TV-MA,,110,2017,94,80
498,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
499,The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57,80
500,Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,80
501,The Nightmare Before Christmas,PG,some scary images,60,1993,84,80
502,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86,80
503,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
504,Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,NA,82
505,Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",60,2008,57,80
506,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95,80
507,The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,NA,82
508,We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,NA,82
509,Thomas & Friends: Thomas & the Runaway Kite,TV-Y,Suitable for all ages.,10,2010,NA,82
510,Dino Squad,TV-Y7,Suitable for children ages 7 and older,41,2008,NA,82
511,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
512,LeapFrog: The Amazing Alphabet Amusement Park,TV-Y,Suitable for all ages.,10,2010,NA,82
513,Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93,80
514,Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89,80
515,The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77,80
516,Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66,80
517,Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2005,NA,82
518,Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73,80
519,Young Justice,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,71,80
520,The Super Mario Bros. Super Show!,TV-Y7,Suitable for children ages 7 and older,41,1989,NA,82
521,Power Rangers Zeo,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1996,NA,82
522,Oscar's Oasis,TV-G,Suitable for all ages.,35,2011,NA,82
523,Transformers Prime,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,NA,82
524,The Adventures of Chuck & Friends,TV-Y,Suitable for all ages.,10,2011,NA,82
525,Transformers: Rescue Bots,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
526,Thomas & Friends: King of the Railway,TV-G,Suitable for all ages.,35,2013,NA,82
527,LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,NA,82
528,Max Steel,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2014,NA,82
529,Transformers Prime Beast Hunters: Predacons Rising,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,NA,82
530,Agent F.O.X.,PG,Parental guidance suggested. May not be suitable for children.,60,2014,NA,82
531,VeggieTales in the House,TV-Y,Suitable for all ages.,10,2016,NA,82
532,Thunder and the House Of Magic,TV-G,Suitable for all ages.,35,2013,NA,82
533,All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71,80
534,Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,82
535,Marvel Super Hero Adventures: Frost Fight!,PG,fantasy action,60,2015,NA,82
536,Slugterra: Slug Fu Showdown,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,NA,82
537,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
538,Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
539,Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,41,2014,NA,82
540,Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83,80
541,Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,41,2015,NA,82
542,Bunks,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,NA,82
543,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97,80
544,The Angry Birds Movie,PG,for rude humor and action,60,2016,92,80
545,The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
546,The Furchester Hotel,TV-Y,Suitable for all ages.,10,2015,NA,82
547,Marvel's Hulk: Where Monsters Dwell,PG,"action violence throughout, some scary images, and language",60,2016,NA,82
548,Angry Birds,TV-G,Suitable for all ages.,35,2013,NA,82
549,Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61,80
550,Nexo Knights,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,NA,82
551,The Nightmare Before Christmas,PG,some scary images,60,1993,84,80
552,An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67,80
553,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86,80
554,The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
555,Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",60,2008,57,80
556,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
557,The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77,80
558,Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66,80
559,Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2005,NA,82
560,The Cat in the Hat Knows a Lot About That!,TV-Y,Suitable for all ages.,10,2014,NA,82
561,Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73,80
562,Bob the Builder,TV-Y,Suitable for all ages.,10,2015,NA,82
563,Beyblade: Metal Fusion,TV-Y7,Suitable for children ages 7 and older,41,2009,NA,82
564,Ninja Turtles: The Next Mutation,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1997,NA,82
565,Transformers Prime,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,NA,82
566,DreamWorks Kung Fu Panda Awesome Secrets,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,NA,82
567,LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,67,80
568,Transformers: Rescue Bots,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
569,Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88,80
570,LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2011,NA,82
571,Super Buddies,G,General Audiences. Suitable for all ages.,35,2013,NA,82
572,Tad: The Lost Explorer,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,NA,82
573,PokÌ©mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74,80
574,Ratchet and Clank,PG,action and some rude humor,60,2016,74,80
575,Pac-Man and the Ghostly Adventures,TV-Y7,Suitable for children ages 7 and older,41,2014,NA,82
576,Iron Man & Captain America: Heroes United,PG,"action and violence throughout, and mild language",60,2014,NA,82
577,Power Rangers Super Megaforce,TV-Y7,Suitable for children ages 7 and older,41,2014,NA,82
578,Chuggington,TV-Y,Suitable for all ages.,10,2015,NA,82
579,All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71,80
580,The Adventures of Puss in Boots,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,78,80
581,Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,82
582,Marvel Super Hero Adventures: Frost Fight!,PG,fantasy action,60,2015,NA,82
583,Some Assembly Required,TV-G,Suitable for all ages.,35,2015,NA,82
584,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
585,Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
586,Kulipari: An Army of Frogs,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,82
587,Transformers: Robots in Disguise,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
588,Robocar Poli,TV-Y,Suitable for all ages.,10,2012,NA,82
589,LEGO Bionicle: The Journey to One,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,82
590,Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,41,2014,NA,82
591,Voltron: Legendary Defender,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
592,Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83,80
593,Buddy Thunderstruck,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,NA,82
594,Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,41,2015,NA,82
595,PokÌ©mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,56,80
596,Power Rangers Dino Super Charge,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
597,The Deep,TV-Y7,Suitable for children ages 7 and older,41,2015,NA,82
598,Skylanders Academy,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
599,Marvel's Hulk: Where Monsters Dwell,PG,"action violence throughout, some scary images, and language",60,2016,NA,82
600,Growing Up Wild,G,,35,2016,80,80
601,The Little Rascals,PG,some rude dialogue,60,1994,86,80
602,Flubber,PG,slapstick action and mild language,60,1997,83,80
603,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
604,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
605,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86,80
606,Lilo & Stitch,PG,mild sci-fi action,60,2002,95,80
607,Scooby-Doo 2: Monsters Unleashed,PG,"some scary action, rude humor and language",60,2004,82,80
608,The Three Musketeers,G,General Audiences. Suitable for all ages.,35,2004,NA,82
609,Mickey's Twice Upon a Christmas,G,General Audiences. Suitable for all ages.,35,2004,NA,82
610,The Pacifier,PG,"action violence, language and rude humor",60,2005,91,80
611,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
612,Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,NA,82
613,Bee Movie,PG,mild suggestive humor,60,2007,94,80
614,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91,80
615,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95,80
616,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
617,Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89,80
618,Super Why!,TV-Y,Suitable for all ages.,10,2015,68,80
619,Jessie,TV-G,Suitable for all ages.,35,2015,88,80
620,Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,NA,82
621,Lab Rats,TV-Y7,Suitable for children ages 7 and older,41,2016,85,80
622,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,80
623,Pocoyo,TV-Y,Suitable for all ages.,10,2007,67,80
624,Home,PG,mild action and some rude humor,60,2015,94,80
625,Chuggington,TV-Y,Suitable for all ages.,10,2015,NA,82
626,Octonauts,TV-Y,Suitable for all ages.,10,2015,NA,82
627,Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88,80
628,Mother Goose Club,TV-Y,Suitable for all ages.,10,2016,NA,82
629,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70,80
630,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93,80
631,Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72,80
632,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
633,Goosebumps,PG,"scary and intense creature action and images, and for some rude humor",60,2015,90,80
634,Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92,80
635,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97,80
636,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97,80
637,Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,NA,82
638,Open Season: Scared Silly,PG,rude humor and some action,60,2015,72,80
639,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,NA,82
640,The Angry Birds Movie,PG,for rude humor and action,60,2016,92,80
641,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96,80
642,Finding Dory,PG,mild thematic elements,60,2016,98,80
643,The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
644,Ask the StoryBots,TV-Y,Suitable for all ages.,10,2016,NA,82
645,The Furchester Hotel,TV-Y,Suitable for all ages.,10,2015,NA,82
646,Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77,80
647,Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,NA,82
648,Angry Birds,TV-G,Suitable for all ages.,35,2013,NA,82
649,Tayo the Little Bus,TV-Y,Suitable for all ages.,10,2014,NA,82
650,Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61,80
651,The Little Rascals,PG,some rude dialogue,60,1994,86,80
652,Antz,PG,moderate adult language and intense action,60,1998,80,80
653,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
654,An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67,80
655,Chicken Run,G,General Audiences. Suitable for all ages.,35,2000,80,80
656,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
657,Lilo & Stitch,PG,mild sci-fi action,60,2002,95,80
658,Spy Kids 3: Game Over,PG,action sequences and peril,60,2003,64,80
659,Annie,PG,adult content and mld violence,60,1982,68,80
660,Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85,80
661,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
662,Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,60,2005,85,80
663,Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,NA,82
664,Bee Movie,PG,mild suggestive humor,60,2007,94,80
665,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91,80
666,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
667,Super Why!,TV-Y,Suitable for all ages.,10,2015,68,80
668,DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,56,80
669,Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,NA,82
670,DreamWorks Spooky Stories: Volume 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,NA,82
671,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
672,Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88,80
673,Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,NA,82
674,Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,NA,82
675,Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,80
676,Pocoyo,TV-Y,Suitable for all ages.,10,2007,67,80
677,Sofia the First,TV-Y,Suitable for all ages.,10,2015,82,80
678,Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85,80
679,Paddington,PG,mild action and rude humor,60,2014,70,80
680,Larva,TV-G,Suitable for all ages.,35,2015,NA,82
681,Sid the Science Kid,TV-Y,Suitable for all ages.,10,2008,NA,82
682,Chuggington,TV-Y,Suitable for all ages.,10,2015,NA,82
683,All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71,80
684,Octonauts,TV-Y,Suitable for all ages.,10,2015,NA,82
685,Minions,PG,action and rude humor,60,2015,96,80
686,Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88,80
687,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70,80
688,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93,80
689,Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
690,The Little Prince,PG,mild thematic elements,60,2015,71,80
691,Word Party,TV-Y,Suitable for all ages.,10,2016,NA,82
692,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97,80
693,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97,80
694,Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,NA,82
695,Open Season: Scared Silly,PG,rude humor and some action,60,2015,72,80
696,The Angry Birds Movie,PG,for rude humor and action,60,2016,92,80
697,Finding Dory,PG,mild thematic elements,60,2016,98,80
698,The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
699,Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77,80
700,Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61,80
701,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
702,Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96,80
703,The Little Rascals,PG,some rude dialogue,60,1994,86,80
704,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
705,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
706,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
707,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86,80
708,Lilo & Stitch,PG,mild sci-fi action,60,2002,95,80
709,Missione Hamburger,PG,"language, some comic violence and mild sex-related humor",60,1997,75,80
710,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
711,Curious George,G,General Audiences. Suitable for all ages.,35,2006,55,80
712,Bee Movie,PG,mild suggestive humor,60,2007,94,80
713,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91,80
714,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95,80
715,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
